x,y,layer1,layer2,voltage1,voltage2,current
502.176,1218.82,TOP_LAYER,BOTTOM_LAYER,2.16217e-05,2.12386e-05,0.000315352
526.176,1028.82,TOP_LAYER,BOTTOM_LAYER,2.4157e-05,2.4157e-05,-8.36769e-17
553.774,581.751,TOP_LAYER,BOTTOM_LAYER,0.000272717,0.000272717,-8.92553e-17
566.176,1089.82,TOP_LAYER,BOTTOM_LAYER,2.4157e-05,2.4157e-05,4.46277e-17
573.987,728.651,TOP_LAYER,BOTTOM_LAYER,0.000318442,0.000314797,0.00300084
618.527,83.4725,TOP_LAYER,BOTTOM_LAYER,-5.73106e-06,-5.73106e-06,-6.53937e-18
613.335,145.881,TOP_LAYER,BOTTOM_LAYER,3.30202,3.30202,1.02365e-11
617.176,1344.82,TOP_LAYER,BOTTOM_LAYER,0.000375593,0.000375593,8.03298e-16
666.527,1375.47,TOP_LAYER,BOTTOM_LAYER,3.29876,3.29876,2.28567e-12
673.176,700.824,TOP_LAYER,BOTTOM_LAYER,0.000334619,0.000325982,0.00711034
673.176,751.157,TOP_LAYER,BOTTOM_LAYER,0.000335533,0.000328364,0.0059023
673.176,802.635,TOP_LAYER,BOTTOM_LAYER,0.000337972,0.000338389,-0.000343152
673.176,851.824,TOP_LAYER,BOTTOM_LAYER,0.000339127,0.00033871,0.000343152
685.111,1015.88,TOP_LAYER,BOTTOM_LAYER,0.000338654,0.000338654,-4.46277e-17
685.176,518.824,TOP_LAYER,BOTTOM_LAYER,0.000343211,0.000343275,-5.26774e-05
699.661,1242.62,TOP_LAYER,BOTTOM_LAYER,0.000375593,0.000375593,4.46277e-17
717.176,495.824,TOP_LAYER,BOTTOM_LAYER,0.000343223,0.000343278,-4.55894e-05
733.176,700.824,TOP_LAYER,BOTTOM_LAYER,0.000336516,0.000331291,0.00430154
733.176,751.157,TOP_LAYER,BOTTOM_LAYER,0.000337106,0.000332632,0.0036828
733.176,805.824,TOP_LAYER,BOTTOM_LAYER,0.000339358,0.000342689,-0.00274187
733.176,851.824,TOP_LAYER,BOTTOM_LAYER,0.000340571,0.000346084,-0.00453793
748.53,545.226,TOP_LAYER,BOTTOM_LAYER,0.000343172,0.000343219,-3.84425e-05
772.176,1237.82,TOP_LAYER,BOTTOM_LAYER,0.000375593,0.000375593,3.12394e-16
793.16,802.635,TOP_LAYER,BOTTOM_LAYER,0.000341242,0.000343519,-0.00187459
793.176,700.824,TOP_LAYER,BOTTOM_LAYER,0.000340469,0.000343967,-0.00287926
793.176,751.157,TOP_LAYER,BOTTOM_LAYER,0.000340995,0.000345298,-0.00354229
793.176,851.824,TOP_LAYER,BOTTOM_LAYER,0.000341507,0.00034428,-0.00228354
812.176,1077.82,TOP_LAYER,BOTTOM_LAYER,0.000370488,0.000366845,0.00299942
865.46,1253.44,TOP_LAYER,BOTTOM_LAYER,0.000375593,0.000375593,-2.79013e-16
864.176,1043.82,TOP_LAYER,BOTTOM_LAYER,3.29867,3.29867,0.00239766
879.176,264.824,TOP_LAYER,BOTTOM_LAYER,-1.83944e-06,-1.84067e-06,1.01023e-06
895.176,19.8242,TOP_LAYER,BOTTOM_LAYER,11.9996,11.9996,0.0021
907.176,264.824,TOP_LAYER,BOTTOM_LAYER,-1.83624e-06,-1.83501e-06,-1.01023e-06
917.176,1178.82,TOP_LAYER,BOTTOM_LAYER,3.2987,3.2987,-3.6559e-13
920.617,439.769,TOP_LAYER,BOTTOM_LAYER,0.000343846,0.000343834,9.6727e-06
935.378,470.423,TOP_LAYER,BOTTOM_LAYER,0.000343855,0.00034386,-3.77691e-06
948.176,439.769,TOP_LAYER,BOTTOM_LAYER,0.000343853,0.00034386,-5.8958e-06
948.176,912.699,TOP_LAYER,BOTTOM_LAYER,3.29864,3.29865,-0.00239766
957.204,940.912,TOP_LAYER,BOTTOM_LAYER,0.000383012,0.000379369,0.00299895
996.527,24.5051,TOP_LAYER,BOTTOM_LAYER,-1.24786e-06,-1.24786e-06,5.44947e-19
996.527,1022.47,TOP_LAYER,BOTTOM_LAYER,0.000375974,0.000375974,-2.79013e-16
996.527,1322.47,TOP_LAYER,BOTTOM_LAYER,0.000375593,0.000375593,4.1852e-16
1016.21,753.289,TOP_LAYER,BOTTOM_LAYER,3.29862,3.29862,3.6559e-13
1027.96,143.04,TOP_LAYER,BOTTOM_LAYER,11.9996,11.9996,-1.24934e-11
