x,y,layer1,layer2,voltage1,voltage2,current
733.176,700.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,4.90904e-15
733.176,751.157,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,4.01649e-15
733.176,805.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-2.32064e-15
733.176,851.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-3.57021e-15
748.53,545.226,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-7.14043e-16
772.176,1237.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,9.81808e-16
793.16,802.635,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-1.16032e-15
793.176,700.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-4.90904e-15
793.176,751.157,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-4.37351e-15
793.176,851.824,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-1.42809e-15
803.686,328.469,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,4.46277e-16
812.176,1077.82,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-1.16032e-15
865.46,1253.44,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-2.79013e-16
920.617,439.769,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,2.14213e-15
935.378,470.423,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.6066e-15
948.176,439.769,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,1.33883e-15
957.204,940.912,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,2.67766e-16
996.527,24.5051,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-2.79013e-16
996.527,1022.47,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-2.79013e-16
996.527,1322.47,TOP_LAYER,BOTTOM_LAYER,0.0005,0.0005,-2.79013e-16
