x;y;layer1;layer2;voltage1;voltage2;current
566.176;1089.82;TOP_LAYER;BOTTOM_LAYER;-8.57037e-05;-8.57037e-05;-1.56197e-16
573.987;728.651;TOP_LAYER;BOTTOM_LAYER;0.00355372;0.00355006;0.00301564
618.527;83.4725;TOP_LAYER;BOTTOM_LAYER;-0.000109749;-0.000109749;-1.39507e-16
613.335;145.881;TOP_LAYER;BOTTOM_LAYER;3.29747;3.29747;-4.38708e-12
617.176;1344.82;TOP_LAYER;BOTTOM_LAYER;0.00458338;0.00458338;9.9966e-15
666.527;1375.47;TOP_LAYER;BOTTOM_LAYER;3.29318;3.29318;2.28567e-12
673.176;700.824;TOP_LAYER;BOTTOM_LAYER;0.00388944;0.00373857;0.124197
673.176;751.157;TOP_LAYER;BOTTOM_LAYER;0.00390759;0.00378169;0.103646
673.176;802.635;TOP_LAYER;BOTTOM_LAYER;0.00395207;0.00395968;-0.00626678
673.176;851.824;TOP_LAYER;BOTTOM_LAYER;0.00397315;0.00396554;0.00626678
685.111;1015.88;TOP_LAYER;BOTTOM_LAYER;0.00396454;0.00396454;6.42638e-15
685.176;518.824;TOP_LAYER;BOTTOM_LAYER;0.00400201;0.00400742;-0.00445519
699.661;1242.62;TOP_LAYER;BOTTOM_LAYER;0.00458338;0.00458338;7.14043e-16
717.176;495.824;TOP_LAYER;BOTTOM_LAYER;0.004003;0.00400769;-0.00385573
733.176;700.824;TOP_LAYER;BOTTOM_LAYER;0.00392184;0.00383155;0.074326
733.176;751.157;TOP_LAYER;BOTTOM_LAYER;0.0039358;0.00385612;0.0655954
733.176;805.824;TOP_LAYER;BOTTOM_LAYER;0.00397739;0.0040374;-0.0494063
733.176;851.824;TOP_LAYER;BOTTOM_LAYER;0.00399951;0.00409827;-0.0813061
748.53;545.226;TOP_LAYER;BOTTOM_LAYER;0.00399872;0.00400267;-0.00325127
772.176;1237.82;TOP_LAYER;BOTTOM_LAYER;0.00458338;0.00458338;-2.85617e-15
793.16;802.635;TOP_LAYER;BOTTOM_LAYER;0.00401404;0.00405345;-0.0324371
793.176;700.824;TOP_LAYER;BOTTOM_LAYER;0.00400095;0.00408088;-0.0658042
793.176;751.157;TOP_LAYER;BOTTOM_LAYER;0.00401279;0.00411496;-0.0841043
